Timestamp,CPU_Usage(%),Memory_Usage(%),Disk_IO(MB/s),Network_Latency(ms),Error_Rate,Downtime
01-01-23 0:00,57.69743724,46.44214331,172.4957103,12.25369677,0.013118228,0
01-01-23 1:00,47.9451525,53.72450616,168.1893581,26.96434297,0.039279938,1
01-01-23 2:00,60.13482851,47.99029392,96.72992617,36.35809689,0.016946845,0
01-01-23 3:00,75.16506779,62.3370672,188.2395211,53.80892512,0.021473717,1
01-01-23 4:00,46.54252718,87.29060381,70.19191106,78.75078358,0.033022198,0
01-01-23 5:00,46.54276576,44.69987371,111.6812224,68.79887271,0.019067016,0
01-01-23 6:00,76.18210535,82.51969296,49.0351242,24.68930098,0.000828147,0
01-01-23 7:00,62.100477,44.50140332,261.990057,41.12170346,0.039897867,1
01-01-23 8:00,43.17829041,43.27753637,135.8498476,51.92688941,0.0448034,0
01-01-23 9:00,58.43277205,78.19563271,313.6025707,43.65107962,0.000761101,0
01-01-23 10:00,43.26349057,80.63561397,204.0527419,43.48517911,0.00657271,0
01-01-23 11:00,43.2309579,78.96695699,179.2108904,15.83495057,0.06467034,1
01-01-23 12:00,53.68797981,34.96523866,115.4227466,25.16803429,0.023874075,0
01-01-23 13:00,24.96143762,50.54069493,91.17221315,40.41358534,0.020056858,0
01-01-23 14:00,27.10157404,78.29872577,184.326719,1.373493355,0.013723274,0
01-01-23 15:00,41.88185433,60.87496724,145.5610599,67.24738343,0.006695801,0
01-01-23 16:00,35.83336007,39.18167472,77.05747515,21.33576624,0.017002712,0
01-01-23 17:00,54.81246137,69.93975972,69.0015057,68.5861932,0.038439263,0
01-01-23 18:00,37.20414659,45.75547169,95.59569397,66.04900125,0.01974989,0
01-01-23 19:00,30.81004622,102.515501,283.7059814,37.2944803,0.030881885,1
01-01-23 20:00,74.13285785,96.02147343,317.7214647,78.016999,0.05760448,1
01-01-23 21:00,46.66433043,73.2334465,163.063945,70.2369605,0.011723214,0
01-01-23 22:00,51.01748313,91.35964968,159.4420285,42.5623348,0.025121198,0
01-01-23 23:00,30.6586846,61.36691523,129.6586451,39.98965314,0.039096716,1
02-01-23 0:00,42.13061168,76.95302922,96.83424293,81.042579,0.007684469,1
02-01-23 1:00,51.67614267,94.30761211,247.2953957,55.96183725,0.022943954,1
02-01-23 2:00,34.05988255,65.24587672,288.1602556,79.39160573,0.06047399,1
02-01-23 3:00,55.77661928,54.73875014,98.95049311,7.397239525,0.014903305,0
02-01-23 4:00,41.35118649,28.56154291,144.8637745,52.49122537,0.040517638,0
02-01-23 5:00,45.709679,58.26456273,123.0976343,18.02943111,0.017801569,0
02-01-23 6:00,41.33645166,78.30892549,124.7946631,49.35728245,0.058508933,1
02-01-23 7:00,81.21510724,81.19963585,232.5575363,69.37412308,0.001795207,1
02-01-23 8:00,49.7977238,70.97324256,78.32986199,102.552329,0.021051957,0
02-01-23 9:00,35.25308847,49.07222607,180.4599195,29.18630222,0.002899359,0
02-01-23 10:00,63.01475381,24.34848233,198.6968662,37.68647649,0.010259656,0
02-01-23 11:00,33.17780447,49.96833993,141.2367934,47.63905693,0.010189678,0
02-01-23 12:00,53.17657793,53.74769641,210.60216,28.48585507,0.015942496,0
02-01-23 13:00,24.44525514,53.5753785,159.3590464,77.33673065,0.005223447,0
02-01-23 14:00,31.84128745,73.56360145,234.9590515,48.2623761,0.018867607,0
02-01-23 15:00,52.99167288,107.6135708,68.76482238,53.09354613,0.028003552,0
02-01-23 16:00,61.62233159,62.61700243,128.9314113,66.65817229,0.002529732,0
02-01-23 17:00,52.59989131,55.51909143,145.5426213,48.22263972,0.011050498,0
02-01-23 18:00,48.27865029,54.65713585,29.95844462,31.56663247,0.080025797,1
02-01-23 19:00,45.574108,62.63528746,89.20371419,48.43640869,0.025592986,0
02-01-23 20:00,30.00819742,43.63493686,103.1217091,30.79460557,0.00082869,0
02-01-23 21:00,39.72051256,62.54584127,214.6574423,52.73450185,0.00347646,1
02-01-23 22:00,43.30260651,69.77190671,108.820056,77.90509748,0.023767566,0
02-01-23 23:00,66.97434079,64.4693597,102.8855827,24.76726466,0.021641058,0
03-01-23 0:00,55.27234787,69.92239755,205.1025593,18.73520762,0.011636182,1
03-01-23 1:00,26.66270826,69.39090528,64.58639378,51.23852507,0.069524931,0
03-01-23 2:00,54.96628996,27.49959645,46.28755771,32.57355834,0.082472883,0
03-01-23 3:00,44.37205416,73.98267872,128.1849752,50.79665515,0.015979562,0
03-01-23 4:00,40.30439339,46.58407963,72.09345631,58.31806326,0.036253471,1
03-01-23 5:00,59.54929221,38.78867278,73.81821837,10.19401622,0.037327366,1
03-01-23 6:00,66.52795285,38.63623238,187.8125699,68.67391239,0.040238574,1
03-01-23 7:00,64.83648445,69.38631131,209.3523459,24.86266065,0.010987763,1
03-01-23 8:00,38.1160232,55.40023593,203.037854,49.44279953,0.062315577,1
03-01-23 9:00,45.45742666,28.92218402,226.6748554,34.81979681,0.018916562,1
03-01-23 10:00,55.07868693,70.38157435,236.8133814,37.11504427,0.027286105,1
03-01-23 11:00,65.5848652,32.87693661,44.14848961,100.957429,0.020032709,0
03-01-23 12:00,43.04199438,62.96557355,179.3679731,58.28748327,0.017823558,0
03-01-23 13:00,47.24958461,65.09380005,118.5823966,75.07259339,0.024686998,1
03-01-23 14:00,34.62895246,79.77348887,106.6378426,53.84188373,0.005244805,0
03-01-23 15:00,33.48781093,102.1769815,186.9103019,66.65358986,0.000117884,1
03-01-23 16:00,62.84808555,34.13530937,59.82006719,60.95707315,0.016722506,0
03-01-23 17:00,72.18298744,58.90217928,58.95400023,56.55564741,0.008238616,0
03-01-23 18:00,48.92503363,54.3115006,192.006783,81.35628035,0.02965934,0
03-01-23 19:00,66.06007175,69.39095159,181.9142373,53.98611822,0.027505164,0
03-01-23 20:00,55.55532099,64.59881372,158.6579659,122.7944263,0.020216225,0
03-01-23 21:00,40.73938318,52.78296218,99.6508978,76.78115203,0.050290388,0
03-01-23 22:00,55.55154087,51.03264615,199.8090473,25.40714156,0.019900473,1
03-01-23 23:00,75.43610498,38.42422581,195.2958029,45.67976667,0.003048198,1
04-01-23 0:00,49.46389292,82.20889899,155.3751934,60.39995185,0.016571742,0
04-01-23 1:00,75.91776461,69.95959053,84.73394393,51.1183608,0.042848981,0
04-01-23 2:00,17.56688785,80.53657985,124.5069953,68.58722076,0.000503172,1
